accuracy;avg_iter;max_iter;name;tol
0.12044374;9409;10000;CR1__20;0.001
0.039548023;9925;10000;CR1__20;0.000001
0.001883239;9992;10000;CR1__20;0.000000001
0.11627907;9111;10000;CR1__50;0.001
0.106976744;9674;10000;CR1__50;0.000001
0.023255814;9935;10000;CR1__50;0.000000001
0.906976744;5670;10000;CR20__20;0.001
0.576744186;8559;10000;CR20__20;0.000001
0.046511628;9936;10000;CR20__20;0.000000001
0.943925234;3446;10000;CR20__50;0.001
0.902912621;6776;10000;CR20__50;0.000001
0.32038835;9280;10000;CR20__50;0.000000001
9.00E-03;9912;10000;MATLAB's Nelder-Mead;0.001
2.00E-03;9980;10000;MATLAB's Nelder-Mead;0.000001
0;10000;10000;MATLAB's Nelder-Mead;0.000000001
0.336633663;194166;250000;CR1__20;0.001
0.376237624;182681;250000;CR1__20;0.000001
0.287128713;205839;250000;CR1__20;0.000000001
0.485148515;161961;250000;CR1__50;0.001
0.415841584;172686;250000;CR1__50;0.000001
0.396039604;188294;250000;CR1__50;0.000000001
1;85333;250000;CR20__20;0.001
1;81899;250000;CR20__20;0.000001
1;92244;250000;CR20__20;0.000000001
1;81126;250000;CR20__50;0.001
1;66993;250000;CR20__50;0.000001
1;87180;250000;CR20__50;0.000000001
2.00E-03;249500;250000;MATLAB's Nelder-Mead;0.001
3.00E-03;249251;250000;MATLAB's Nelder-Mead;0.000001
0;250000;250000;MATLAB's Nelder-Mead;0.000000001